title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
Converse Platform High Tops,Converse,yellow,Unisex,Shoe,20.0,100.0,7.5,Unknown,Unknown,Shoes,0
Converse Chuck Taylor Madison Ox Lowtop Sneakers Green,Converse,green,Male,Shoe,34.0,75.0,10,not_nwt,Unknown,Shoes,232
Converse Chunky Chucks (Retail $80),Converse,Unknown,Male,Other,36.0,80.0,10.5,Unknown,Unknown,Shoes,143
Love Converse Size 5.5 Women’s High Tops,Converse,Unknown,Male,Other,40.0,90.0,5.5,nwt,Unknown,Shoes,9
Converse Chuck Taylor Ox Things to Grow Embroidered canvas sneaker size 6 cream,Converse,red,Unisex,Other,25.0,25.0,6,Unknown,Unknown,Shoes,333
Converse Unisex Run Star Hike Platform,Converse,Unknown,Male,Other,70.0,130.0,8,Unknown,Unknown,Shoes,0
Converse All Star sneakers,Converse,gray,Unisex,Shirt,20.0,55.0,12,not_nwt,Unknown,Other,96
Chuck Taylor ALL STAR Shore Line Knit,Converse,Unknown,Unisex,Shoe,30.0,65.0,7,Unknown,Unknown,Shoes,4
Levi’s Red Women's Sneakers,Converse,red,Male,Shoe,16.0,38.0,8.5,Unknown,Unknown,Shoes,1
Converse Sneakers,Converse,Unknown,Male,Shoe,12.0,60.0,8,Unknown,Unknown,Shoes,0
High Top Platform Converse,Converse,Unknown,Unisex,Shoe,38.0,100.0,8,Unknown,Unknown,Shoes,3
RARE Shopbop Flame Embellished Converse,Converse,Unknown,Unisex,Other,28.0,128.0,8,Unknown,Unknown,Shoes,164
CONVERSE WOMEN'S SHOES SIZE 8,Converse,Unknown,Unisex,Other,59.0,59.0,8,nwt,Unknown,Shoes,1681
Converse shoes platform Brand new in the box.,Converse,Unknown,Male,Shoe,55.0,125.0,8,nwt,Unknown,Shoes,63
Converse Black & White High Top 1 1/4 inch Platform Lugged Sneakers womens sz 8,Converse,red,Male,Shoe,32.0,85.0,8,Unknown,Unknown,Shoes,10
NWT Converse High-Top Sneakers Burnt Honey black White  sz 7 women’s sz 5 men’s,Converse,Unknown,Male,Shoe,32.0,75.0,7,nwt,Unknown,Shoes,18
Converse Women Mountain Club Ankle Boots Sz 10,Converse,black,Unisex,Shoe,23.0,23.0,10,nwt,Unknown,Shoes,357
EUC Converse Sparkly Black Sneakers - Women’s Size 8,Converse,Unknown,Male,Other,5.0,5.0,8,not_nwt,Unknown,Shoes,567
CONVERSE CTAS XX HI,Converse,Unknown,Unisex,Other,89.0,999.0,Various,nwt,Unknown,Shoes,51
Women’s Cherry Converse nwt,Converse,Unknown,Male,Shoe,35.0,75.0,8,nwt,Unknown,Shoes,9
Converse High top Brand new platform.,Converse,Unknown,Male,Shirt,50.0,160.0,6,nwt,Unknown,Shoes,135
CONVERSE CTAS CHELSEA LUGGED HI,Converse,Unknown,Male,Other,69.0,999.0,8,nwt,Unknown,Shoes,32
CONVERSE CTAS CRUISE HI BRAND 🔥 NEW,Converse,Unknown,Unisex,Other,88.0,999.0,7.5,nwt,Unknown,Shoes,171
