title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
Adidas XL Black Leggings,adidas,black,Unisex,Other,20.0,20.0,XL,Unknown,Unknown,Pants,175
adidas Originals Stan Smith Men’s sneakers in white NWT Size US 10.5,adidas,black,Male,Other,68.0,68.0,10.5,nwt,Unknown,Other,18
Adidas Men Trefoil T Shirts 2XL Orange(Bright Red) NEW,adidas,red,Male,Shirt,14.0,30.0,XXL,nwt,Unknown,Other,31
Adidas Sweatpants,adidas,red,Unisex,Shirt,20.0,20.0,M,Unknown,Unknown,Pants,90
PURPLE ADIDAS TRACK PANTS,adidas,purple,Unisex,Jacket,27.0,27.0,S,Unknown,Unknown,Pants,31
Adidas Handball Spezial JS0241 Sneaker Women's 8 Alumina Lifestyle Shoes TF3755,adidas,Unknown,Male,Shoe,100.0,100.0,Color: Silver | US Shoe Size: 8,nwt,Unknown,Shoes,20
"Adidas Grand Court SE Women's Sneaker, Cream and Pink, size 9",adidas,white,Unisex,Other,40.0,40.0,9,Unknown,Unknown,Shoes,9
Adidas forum low men sneaker,adidas,black,Unisex,Shoe,38.0,100.0,10,nwt,Unknown,Other,6
Adidas Superstar Black and White Sneakers,adidas,black,Unisex,Shoe,30.0,100.0,8.5,not_nwt,Unknown,Other,1
Adidas Men's Tubular X PK sz 10,adidas,Unknown,Male,Other,55.0,55.0,10,not_nwt,Unknown,Other,238
Womens adidas Swift Run Athletic Shoes size 10US,adidas,Unknown,Male,Shoe,45.0,110.0,10,not_nwt,Unknown,Shoes,211
"Adidas Run 70s, size 8 (fits like 9)",adidas,Unknown,Unisex,Other,51.0,80.0,8,Unknown,Unknown,Shoes,92
Adidas Cloudform nwot Sz 8.5 white and pastel,adidas,white,Unisex,Other,32.0,69.0,8.5,Unknown,Unknown,Shoes,231
⚪️ADIDAS Women’s Slide On Sandals Size 7,adidas,Unknown,Unisex,Other,15.0,49.0,7,not_nwt,Unknown,Shoes,23
Adidas Primegreen Sneaker size 10,adidas,green,Unisex,Shoe,22.0,189.0,10,Unknown,Unknown,Other,161
NEW Adidas Nizza Trefoil Black Sneaker Womens 11,adidas,black,Male,Shoe,127.0,999.0,11,nwt,Unknown,Shoes,164
Adidas  climalite women leggings,adidas,black,Male,Other,22.0,22.0,M,Unknown,Unknown,Pants,303
Men's basketball shoes adidas zoone boost  9.5 new,adidas,Unknown,Unisex,Other,50.0,200.0,9.5,nwt,Unknown,Other,1338
Mens Adidas white with red stripes suade on toe,adidas,red,Male,Shoe,40.0,120.0,10,not_nwt,Unknown,Other,478
Adidas hoodie black XL,adidas,black,Unisex,Other,19.0,19.0,XL,nwt,Unknown,Tops,615
Adidas joggers climalite trio stripe,adidas,blue,Unisex,Other,20.0,40.0,L,not_nwt,Unknown,Pants,158
Hardly used shin guards Adidas neon green and blue,adidas,Unknown,Unisex,Other,15.0,30.0,OS,not_nwt,Unknown,Other,1
SAMBAE Adidas Originals Women’s Sneakers | White & Collegiate Green,adidas,green,Male,Shoe,70.0,110.0,6.5,not_nwt,Unknown,Shoes,26
Adidas Pink and Black Terry Sweat pant Jogger Drawstring Pants M,adidas,black,Unisex,Other,20.0,20.0,M,Unknown,Unknown,Pants,77
Adidas Bundle (Size Medium),adidas,Unknown,Unisex,Other,27.0,27.0,M,Unknown,Unknown,Pants,24
Adidas Creator Mens in White Short Sleeve T Shirt Orange Blue Logo| Size: XL,adidas,Unknown,Unisex,Bag,15.0,45.0,XL,not_nwt,Unknown,Other,62
Adidas Stan Smith Black Shoes Mens Size 7 US White Logo,adidas,Unknown,Unisex,Other,25.0,129.0,7,not_nwt,Unknown,Other,322
Adidas red leggings,adidas,red,Unisex,Other,7.0,50.0,3X,Unknown,Unknown,Pants,6
Boston Bruins Adidas Hockey Jersey Stitched Linus Ullmark - Size Adult XXL 56,adidas,black,Unisex,Other,58.0,175.0,XXL,nwt,Unknown,Other,1
Tampa Bay Lightning Adidas Hockey Jersey White Gasparilla Stitched Size XL 54,adidas,black,Unisex,Other,74.0,175.0,XL,nwt,Unknown,Other,7
Womens retro py adidas shoes. Vintage. Classic shoes. Tiffany Blue size 9.,adidas,blue,Male,Shoe,41.0,122.0,9,not_nwt,Unknown,Shoes,185
Toddler Adidas X Disney Princess Sneakers,adidas,Unknown,Unisex,Other,29.0,29.0,11G,Unknown,Unknown,Other,10
Adidas Men’s Lite Racer Adapt Running Shoe Black 11,adidas,black,Male,Shoe,14.0,14.0,11,Unknown,Unknown,Other,14
Adidas Terrex Hiker,adidas,Unknown,Unisex,Shoe,60.0,220.0,11,Unknown,Unknown,Other,15
Adidas Women's Sz 9,adidas,Unknown,Male,Other,45.0,150.0,9,Unknown,Unknown,Shoes,98
Adidas,adidas,Unknown,Unisex,Other,34.0,50.0,8,Unknown,Unknown,Other,363
Adidas UltraBoost 4.0 Carbon - Women's Running Shoes - Size 7.5,adidas,black,Male,Shoe,34.0,34.0,7.5,not_nwt,Unknown,Shoes,11
Adidas Tennis Skirt,adidas,red,Unisex,Other,22.0,22.0,L,not_nwt,Unknown,Dresses & Skirts,13
Adidas Tom and Jerry graphic tee size M,adidas,Unknown,Unisex,Shirt,5.0,20.0,M,nwt,Unknown,Tops,325
"Adidas Kid's Sneakers, US Size 2 , NWT",adidas,white,Unisex,Shoe,35.0,55.0,2B,nwt,Unknown,Other,31
Adidas Women's Green Vintage Sneakers,adidas,Unknown,Unisex,Other,100.0,320.0,37EU,Unknown,Unknown,Shoes,176
Adidas Goletto Soccer Cleats Size 1,adidas,blue,Unisex,Other,12.0,12.0,1B,Unknown,Unknown,Other,224
Adidas Women Game Court Athletic Shoes Size 11.5 NEW,adidas,Unknown,Unisex,Other,48.0,48.0,11.5,nwt,Unknown,Shoes,985
ADIDAS Big and Tall Mens Black Crew Neck T Shirt Size 4XL,adidas,Unknown,Unisex,Other,14.0,60.0,4XL,not_nwt,Unknown,Other,15
