title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
Nike Dri-FIT t-shirt,Nike,Unknown,Unisex,Shirt,10.0,25.0,2XLT,not_nwt,Unknown,Other,302
Nike t-shirt,Nike,Unknown,Unisex,Shirt,20.0,25.0,XXL,nwt,Unknown,Other,169
Nike Toddler Air Jordan 1 Mid Sonic Size 6C,Nike,green,Unisex,Shoe,30.0,30.0,6C,Unknown,Unknown,Other,58
Nike Size 5 (GS) Air Force 1 LV8 Low Just Do It!,Nike,black,Unisex,Shoe,26.0,150.0,5BB,not_nwt,Unknown,Other,0
Nike Air Precision II Basketball Sneakers,Nike,black,Male,Shoe,40.0,145.0,5.5,Unknown,Unknown,Other,901
"Women’s Nike Gamma Force size 7, white and black",Nike,black,Male,Shoe,60.0,98.0,7,nwt,Unknown,Shoes,38
nike running shorts,Nike,gray,Male,Other,15.0,35.0,M,Unknown,Unknown,Pants,131
women’s nike running shorts,Nike,Unknown,Unisex,Other,15.0,35.0,L,Unknown,Unknown,Pants,131
Nike Golf Fit Dry Skirt 12,Nike,red,Male,Other,13.0,70.0,12,Unknown,Unknown,Dresses & Skirts,5
Nike Air Griffey Max 1 Sneakers Boys Size 3Y San Francisco Giants,Nike,black,Unisex,Shoe,65.0,65.0,3B,Unknown,Unknown,Other,33
Hot pink Nike tshirt,Nike,pink,Unisex,Shirt,8.0,30.0,XXL,Unknown,Unknown,Tops,7
Nike graffiti t-shirt,Nike,Unknown,Unisex,Shirt,7.0,35.0,L,Unknown,Unknown,Tops,5
Nike Air Max Terrascape 90 Men's Shoes Triple Black DQ3987 002 Sizes 8-12 NEW,Nike,black,Male,Shoe,175.0,350.0,Various,nwt,Unknown,Other,278
Nike Air Jordan 1 Retro High Top Sneakers Kids size 7C,Nike,red,Unisex,Shoe,25.0,25.0,Kids 7C,Unknown,Unknown,Other,44
Rare Nike Air Max 95 SE 'Day of the Dead' CT1139-001,Nike,Unknown,Unisex,Shoe,70.0,350.0,11,not_nwt,Unknown,Other,18
Nike Air Mike Trout 3 Baseball Cleats Youth 4Y,Nike,black,Unisex,Other,21.0,100.0,4B,not_nwt,Unknown,Other,38
Mens Black Nike Flex Fury 2 Running Shoe Sz 10.5,Nike,black,Male,Shoe,23.0,90.0,10.5,not_nwt,Unknown,Other,64
Nike React SFS Carbon Mid Coyote CK9951-900,Nike,Unknown,Unisex,Other,32.0,250.0,11,Unknown,Unknown,Other,2
Nike jacket,Nike,pink,Male,Jacket,15.0,99696.0,M,Unknown,Unknown,Jackets & Blazers,42
Two Black Nike T-shirts Men’s XL White Lettering Nike and Swoosh,Nike,black,Male,Shirt,15.0,25.0,XL,Unknown,Unknown,Other,19
Nike Golf Polo White XL Dri-Fit,Nike,white,Unisex,Other,16.0,16.0,XL,not_nwt,Unknown,Other,0
